company,product,typename,inches,opsys,price_euros,resolution_width,resolution_height,aspect_ratio,resolution_type,touchscreen,cpu_manufacturer,cpu_model,cpu_clock_speed_GHz,ram_gb,storage_capacity1,storage_capacity2,storage_type1,storage_type2,weight_kg,gpu_brand,gpu_model,total_pixels
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,No OS,359.99,1366,768,1.778645833,Other,No,Intel,Pentium Quad Core N4200,1.1,4,1000,0,HDD,None,2.2,Intel HD Graphics,505,1049088
HP,EliteBook x360,2 in 1 Convertible,13.3,Windows 10,1975,1920,1080,1.777777778,Full HD,Yes,Intel,Core i7 7600U,2.8,16,256,0,SSD,None,1.28,Intel HD Graphics,620,2073600
Toshiba,Satellite Pro,Notebook,15.6,Windows 10,1043,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 6500U,2.5,8,256,0,SSD,None,2.2,Nvidia GeForce,930,2073600
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Windows 10,819,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,128,1000,SSD,HDD,2.3,Nvidia GeForce,940,2073600
HP,250 G6,Notebook,15.6,Windows 10,469,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,1.86,Intel HD Graphics,520,2073600
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,Windows 10,999,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.1,Intel HD Graphics,620,2073600
Dell,XPS 13,Ultrabook,13.3,Windows 10,2499,3840,2160,1.777777778,IPS Panel,Yes,Intel,Core i7 8550U,1.8,16,1000,0,SSD,None,1.21,Intel UHD Graphics,620,8294400
MSI,GE63VR 7RF,Gaming,15.6,Windows 10,2099,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,1000,SSD,HDD,2.8,Nvidia GeForce GTX,1070,2073600
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Windows 10,469,1920,1080,1.777777778,Full HD,No,AMD,A8-Series 7410,2.2,8,256,0,SSD,None,2.23,AMD Radeon R,5,2073600
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Windows 10,275,1366,768,1.778645833,Touchscreen,Yes,Intel,Celeron Dual Core N3350,1.1,2,32,0,FlashStorage,None,1.1,Intel HD Graphics,500,1049088
Dell,Inspiron 5570,Notebook,15.6,Windows 10,844,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,128,1000,SSD,HDD,2.33,AMD Radeon,530,2073600
HP,Spectre x360,2 in 1 Convertible,13.3,Windows 10,2449,3840,2160,1.777777778,IPS Panel,Yes,Intel,Core i7 8550U,1.8,16,1000,0,SSD,None,1.29,Intel UHD Graphics,620,8294400
Lenovo,ThinkPad 13,Notebook,13.3,Chrome OS,459.9,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core 3855U,1.6,4,16,0,FlashStorage,None,1.45,Intel HD Graphics,510,1049088
HP,ProBook 640,Notebook,14,Windows 10,980,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.95,Intel HD Graphics,620,2073600
Acer,TravelMate B,Notebook,11.6,Windows 10,485,1366,768,1.778645833,Other,No,Intel,Pentium Quad Core N3710,1.6,4,128,0,FlashStorage,None,1.4,Intel HD Graphics,405,1049088
HP,Elitebook 840,Notebook,14,Windows 10,1292,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.48,Intel HD Graphics,620,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,589,1600,900,1.777777778,Other,No,Intel,Core i5 7200U,2.5,4,1000,0,HDD,None,2.79,Nvidia GeForce,920,1440000
Asus,ZenBook UX410UA-GV183T,Notebook,14,Windows 10,1094,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,2,Intel HD Graphics,620,2073600
HP,ProBook 450,Notebook,15.6,Windows 10,902,1366,768,1.778645833,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,1000,0,HDD,None,2.1,Intel UHD Graphics,620,1049088
Acer,Aspire 5,Notebook,15.6,Windows 10,659,1366,768,1.778645833,Other,No,AMD,A12-Series 9720P,2.7,8,256,0,SSD,None,2.2,AMD Radeon RX,540,1049088
Lenovo,IdeaPad 120S-14IAP,Notebook,14,Windows 10,292,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,4,32,0,FlashStorage,None,1.44,Intel HD Graphics,500,1049088
Acer,Aspire E5-575,Notebook,15.6,Windows 10,549,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,6,1000,0,HDD,None,2.23,Intel HD Graphics,620,1049088
Asus,VivoBook S15,Ultrabook,15.6,Windows 10,1049.9,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.7,Nvidia GeForce,940,2073600
HP,Elitebook 820,Ultrabook,12.5,Windows 10,1335,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.26,Intel HD Graphics,620,2073600
Dell,XPS 15,Notebook,15.6,Windows 10,2639,3840,2160,1.777777778,K Ultra HD,Yes,Intel,Core i7 7700HQ,2.8,32,1000,0,SSD,None,2.06,Nvidia GeForce GTX,1050,8294400
MSI,GL72M 7REX,Gaming,17.3,Windows 10,1199,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,256,1000,SSD,HDD,2.7,Nvidia GeForce GTX,1050,2073600
Toshiba,Satellite Pro,Notebook,15.6,Windows 10,943,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,2,Intel HD Graphics,620,2073600
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,Windows 10,1334,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,1000,SSD,HDD,2,Intel HD Graphics,620,2073600
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,449,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,1.85,Intel HD Graphics,520,2073600
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Windows 10,999,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,256,0,SSD,None,2.5,Nvidia GeForce GTX,1050,2073600
HP,EliteBook 840,Notebook,14,Windows 10,1268,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7300U,2.6,8,256,0,SSD,None,1.48,Intel HD Graphics,620,2073600
Dell,Inspiron 7570,Ultrabook,15.6,Windows 10,1049,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,8,128,1000,SSD,HDD,1.9,Nvidia GeForce,940,2073600
HP,Elitebook 850,Notebook,15.6,Windows 10,1144,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.84,Intel HD Graphics,620,2073600
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Linux,274.99,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,4,1000,0,HDD,None,2,Intel HD Graphics,500,1049088
Dell,Inspiron 7570,Notebook,15.6,Windows 10,1142.75,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,2,Nvidia GeForce,940,2073600
Dell,Inspiron 3552,Notebook,15.6,Linux,274.9,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3060,1.6,4,500,0,HDD,None,2.2,,,1049088
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Windows 10,899,1920,1080,1.777777778,Full HD,No,AMD,A12-Series 9720P,3.6,12,2000,0,HDD,None,2.2,AMD Radeon,530,2073600
HP,ProBook 450,Notebook,15.6,Windows 10,716,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i3 7100U,2.4,8,1000,0,HDD,None,2.1,Nvidia GeForce,930,2073600
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Windows 10,2099,3840,2160,1.777777778,IPS Panel,Yes,Intel,Core i7 8550U,1.8,16,512,0,SSD,None,1.4,Intel UHD Graphics,620,8294400
Dell,XPS 13,Ultrabook,13.3,Windows 10,1579,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.2,Intel UHD Graphics,620,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,1129,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,2000,SSD,HDD,2.4,Nvidia GeForce GTX,1050,2073600
HP,Stream 14-AX001nv,Notebook,14,Windows 10,279,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3060,1.6,2,32,0,FlashStorage,None,1.44,Intel HD Graphics,400,1049088
Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1607.96,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8650U,1.9,16,512,256,SSD,SSD,1.88,Intel UHD Graphics,620,2073600
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Windows 10,375,1366,768,1.778645833,Touchscreen,Yes,Intel,Celeron Dual Core N3350,1.1,4,32,0,FlashStorage,None,1.5,Intel HD Graphics,500,1049088
Dell,Inspiron 5570,Ultrabook,15.6,Windows 10,663,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,1000,0,HDD,None,1.9,AMD Radeon,530,2073600
Dell,XPS 15,Notebook,15.6,Windows 10,2027.42,3840,2160,1.777777778,K Ultra HD,Yes,Intel,Core i7 7700HQ,2.8,16,512,0,SSD,None,2.06,Nvidia GeForce GTX,1050,8294400
HP,Elitebook 850,Notebook,15.6,Windows 10,1304,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.84,Intel HD Graphics,620,2073600
MSI,GP72MVR 7RFX,Gaming,17.3,Windows 10,1409,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,128,1000,SSD,HDD,2.7,Nvidia GeForce GTX,1060,2073600
HP,Zbook 15,Workstation,15.6,Windows 10,1738.27,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,256,0,SSD,None,2.6,Nvidia Quadro M,1200,2073600
Toshiba,Tecra A50-C-21G,Notebook,15.6,Windows 10,1403,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 6500U,2.5,16,512,0,SSD,None,2.4,Nvidia GeForce,930,2073600
Dell,Inspiron 5570,Notebook,15.6,Windows 10,970.9,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,128,2000,SSD,HDD,2.02,AMD Radeon,530,2073600
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,No OS,321.99,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,4,1000,0,HDD,None,2.2,Intel HD Graphics,500,1049088
Dell,Inspiron 7577,Gaming,15.6,Windows 10,999,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7300HQ,2.5,8,1000,0,HDD,None,2.65,Nvidia GeForce GTX,1050,2073600
Dell,Inspiron 3567,Notebook,15.6,Windows 10,557.37,1366,768,1.778645833,Touchscreen,Yes,Intel,Core i5 7200U,2.5,8,2000,0,HDD,None,2.36,Intel HD Graphics,620,1049088
Dell,Latitude 7480,Notebook,14,Windows 10,1427,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7300U,2.6,8,256,0,SSD,None,1.36,Intel HD Graphics,620,2073600
HP,250 G6,Notebook,15.6,Windows 10,439,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,4,500,0,HDD,None,1.86,Intel HD Graphics,520,1049088
Asus,Zenbook UX410UA-GV027T,Notebook,14,Windows 10,945,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,2,Intel HD Graphics,620,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Windows 10,719,1600,900,1.777777778,Other,No,Intel,Core i5 7200U,2.5,6,128,1000,SSD,HDD,2.8,Nvidia GeForce GTX,940,1440000
HP,250 G6,Notebook,15.6,Windows 10,639,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,1000,0,HDD,None,1.86,Intel HD Graphics,620,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,499,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,8,256,0,SSD,None,2.2,Nvidia GeForce,920,1049088
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Windows 10,389,1366,768,1.778645833,Other,No,Intel,Pentium Quad Core N3710,1.6,8,2000,0,HDD,None,2.04,Intel HD Graphics,405,1049088
Dell,Inspiron 5770,Notebook,17.3,Windows 10,1085,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,128,1000,SSD,HDD,2.8,AMD Radeon,530,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,No OS,809,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7300HQ,2.5,8,128,1000,SSD,HDD,2.4,Nvidia GeForce GTX,1050,2073600
Dell,Inspiron 5567,Notebook,15.6,Windows 10,899,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,2.33,AMD Radeon R,7,2073600
HP,Elitebook 1040,Ultrabook,14,Windows 10,1750,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.36,Intel HD Graphics,620,2073600
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Windows 10,1099,1920,1080,1.777777778,Full HD,Yes,Intel,Core i7 7500U,2.7,12,512,2000,SSD,HDD,2.26,Nvidia GeForce GT,940,2073600
Acer,Aspire 3,Notebook,15.6,Windows 10,426,1366,768,1.778645833,Other,No,AMD,A9-Series 9420,3,4,128,0,SSD,None,2.1,AMD Radeon R,5,1049088
Asus,Rog Strix,Gaming,17.3,Windows 10,2199,1920,1080,1.777777778,IPS Panel Full HD,No,AMD,Ryzen 1700,3,16,256,1000,SSD,HDD,3.25,AMD Radeon RX,580,2073600
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,Windows 10,489,1600,900,1.777777778,Other,No,AMD,A8-Series 7410,2.2,4,128,0,SSD,None,2.6,AMD Radeon R,5,1440000
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,869.01,1920,1080,1.777777778,Full HD,Yes,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.62,Intel UHD Graphics,620,2073600
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Windows 10,488.99,1920,1080,1.777777778,Full HD,No,AMD,A9-Series 9420,3,4,256,0,SSD,None,1.91,AMD Radeon R,5,2073600
Lenovo,Yoga 11e,Netbook,11.6,Windows 10,553,1366,768,1.778645833,IPS Panel,No,Intel,Celeron Quad Core N3450,1.1,4,128,0,SSD,None,1.59,Intel HD Graphics,500,1049088
Dell,Inspiron 3552,Notebook,15.6,Windows 10,309,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3060,1.6,4,500,0,HDD,None,1.8,Intel HD Graphics,400,1049088
Asus,VivoBook E403NA,Notebook,14,Windows 10,286,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,4,32,0,FlashStorage,None,1.5,Intel HD Graphics,500,1049088
Acer,Aspire 7,Notebook,15.6,Linux,846,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,1000,0,HDD,None,2.4,Nvidia GeForce GTX,1050,2073600
HP,Omen 17-w212nv,Gaming,17.3,Windows 10,1191,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,8,128,1000,SSD,HDD,3.35,Nvidia GeForce GTX,1050,2073600
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,No OS,403.5,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,128,0,SSD,None,1.85,Intel HD Graphics,520,2073600
Asus,ROG Strix,Gaming,15.6,Windows 10,1655,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,8,128,1000,SSD,HDD,2.3,Nvidia GeForce GTX,1060,2073600
Lenovo,IdeaPad 720S-14IKB,Notebook,14,Windows 10,1099,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.5,Nvidia GeForce,940,2073600
Asus,Zenbook Flip,Ultrabook,13.3,Windows 10,1748.9,1920,1080,1.777777778,Full HD,Yes,Intel,Core i7 7500U,2.7,16,512,0,SSD,None,1.1,Intel HD Graphics,620,2073600
Lenovo,Thinkpad X1,Ultrabook,14,Windows 10,2282,2560,1440,1.777777778,IPS Panel,No,Intel,Core i7 7500U,2.7,8,512,0,SSD,None,1.13,Intel HD Graphics,620,3686400
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Windows 10,549,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i3 7100U,2.4,4,128,0,SSD,None,1.5,Intel HD Graphics,620,2073600
Dell,Precision 3510,Workstation,15.6,Windows 10,1369,1920,1080,1.777777778,Full HD,No,Intel,Core i5 6440HQ,2.6,8,500,0,HDD,None,2.23,AMD FirePro W,5130,2073600
Dell,Precision 5520,Workstation,15.6,Windows 10,2135,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 6820HQ,2.7,8,256,0,SSD,None,2,Nvidia Quadro M,1200,2073600
Lenovo,ThinkPad X1,2 in 1 Convertible,14,Windows 10,2509,2560,1440,1.777777778,Touchscreen,Yes,Intel,Core i7 7500U,2.7,16,512,0,SSD,None,1.42,Intel HD Graphics,620,3686400
Asus,Rog GL753VD-GC042T,Gaming,17.3,Windows 10,1039,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,1000,0,HDD,None,3,Nvidia GeForce GTX,1050,2073600
Asus,Rog GL753VE-GC070T,Gaming,17.3,Windows 10,1591,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,1000,SSD,HDD,3,Nvidia GeForce GTX,1050,2073600
Acer,Aspire 5,Notebook,15.6,Windows 10,693.99,1366,768,1.778645833,IPS Panel,No,Intel,Core i5 8250U,1.6,12,1000,0,HDD,None,2.2,Nvidia GeForce MX,130,1049088
MSI,Leopard GP72M,Gaming,17.3,Windows 10,1349,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,256,0,SSD,None,2.7,Nvidia GeForce GTX,1050,2073600
Dell,Inspiron 5567,Notebook,15.6,Linux,778.87,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,2.33,AMD Radeon R,7,2073600
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Windows 10,499,1920,1080,1.777777778,Full HD,No,AMD,A9-Series 9420,3,4,256,0,SSD,None,1.91,AMD Radeon,520,2073600
Lenovo,ThinkPad E580,Notebook,15.6,Windows 10,1229.56,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,2.1,AMD Radeon RX,550,2073600
Lenovo,ThinkPad L470,Notebook,14,Windows 10,938,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.9,Intel HD Graphics,620,2073600
Dell,Precision M5520,Workstation,15.6,Windows 10,2712,3840,2160,1.777777778,K Ultra HD,Yes,Intel,Core i7 7700HQ,2.8,8,256,0,SSD,None,1.78,Nvidia Quadro M,1200,8294400
Lenovo,Thinkpad X1,Ultrabook,14,Windows 10,2625,2560,1440,1.777777778,IPS Panel,No,Intel,Core i7 7500U,2.7,16,1000,0,SSD,None,1.13,Intel HD Graphics,620,3686400
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Windows 10,306,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,4,1000,0,HDD,None,2.2,Intel HD Graphics,500,1049088
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Windows 10,1529,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,1000,SSD,HDD,2.9,Nvidia GeForce GTX,1050,2073600
Lenovo,ThinkPad E580,Notebook,15.6,Windows 10,1144.5,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,8,256,1000,SSD,HDD,2.1,AMD Radeon RX,550,2073600
Acer,Aspire 7,Notebook,15.6,Linux,879,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,256,0,SSD,None,2.5,Nvidia GeForce GTX,1050,2073600
MSI,GE73VR 7RF,Gaming,17.3,Windows 10,2249,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,1000,SSD,HDD,2.8,Nvidia GeForce GTX,1070,2073600
Asus,Zenbook 3,Ultrabook,14,Windows 10,1873,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,512,0,SSD,None,1.1,Intel HD Graphics,620,2073600
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Windows 10,1747,1920,1080,1.777777778,Full HD,No,Intel,Core i7 6500U,2.5,16,512,0,SSD,None,1.2,Intel HD Graphics,520,2073600
Dell,Latitude 7480,Ultrabook,14,Windows 10,1680,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7600U,2.8,8,512,0,SSD,None,1.36,,,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Windows 10,409,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,500,0,HDD,None,2.2,Intel HD Graphics,520,2073600
Lenovo,Lenovo IdeaPad,Notebook,11.6,Windows 10,304.45,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,2,32,0,FlashStorage,None,1.15,Intel HD Graphics,500,1049088
Lenovo,ThinkPad P51,Workstation,15.6,Windows 10,1925,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,512,0,SSD,None,2.67,Nvidia Quadro M,1200,2073600
Lenovo,Thinkpad T470p,Ultrabook,14,Windows 10,1943,2560,1440,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,8,512,0,SSD,None,1.7,Nvidia GeForce GT,940,3686400
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Windows 10,469,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,2.1,AMD Radeon,520,2073600
Acer,Aspire R7,2 in 1 Convertible,13.3,Windows 10,789.01,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i7 6500U,2.5,8,256,0,SSD,None,1.6,Intel HD Graphics,520,2073600
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Windows 10,928,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.27,Intel HD Graphics,620,2073600
Dell,Inspiron 3567,Notebook,15.6,Linux,598.9,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,4,256,0,SSD,None,2.3,AMD Radeon R,5,2073600
Dell,Latitude 3380,Notebook,13.3,Windows 10,689,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,4,128,0,SSD,None,1.65,Intel HD Graphics,520,1049088
HP,EliteBook 1040,Ultrabook,14,Windows 10,1500,1920,1080,1.777777778,Full HD,No,Intel,Core i7 6500U,2.5,8,256,0,SSD,None,1.43,Intel HD Graphics,520,2073600
Dell,Inspiron 3567,Notebook,15.6,Windows 10,539.95,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,8,1000,0,HDD,None,2.14,Intel HD Graphics,620,1049088
Lenovo,ThinkPad E480,Ultrabook,14,Windows 10,1215.38,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.75,AMD Radeon RX,550,2073600
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Windows 10,1899,3840,2160,1.777777778,IPS Panel,Yes,Intel,Core i7 7700HQ,2.8,16,512,0,SSD,None,2,Nvidia GeForce GTX,1050,8294400
Chuwi,LapBook 12.3,Notebook,12.3,Windows 10,449,2736,1824,1.5,IPS Panel Retina Display,No,Intel,Celeron Quad Core N3450,1.1,6,64,0,FlashStorage,None,1.4,Intel HD Graphics,500,4990464
HP,ProBook 650,Notebook,15.6,Windows 10,1427,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7820HQ,2.9,8,256,0,SSD,None,2.31,Intel HD Graphics,630,2073600
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Linux,597,1920,1080,1.777777778,Full HD,No,Intel,Core i3 7100U,2.4,8,1000,0,HDD,None,2.3,Nvidia GeForce,940,2073600
Dell,Alienware 17,Gaming,17.3,Windows 10,2799,2560,1440,1.777777778,IPS Panel,No,Intel,Core i7 7820HK,2.9,16,256,1000,SSD,HDD,4.42,Nvidia GeForce GTX,1070,3686400
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1159,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,8,128,1000,SSD,HDD,2.62,Nvidia GeForce GTX,1050,2073600
Dell,Inspiron 5570,Notebook,15.6,Windows 10,1142.4,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,256,2000,SSD,HDD,2.02,AMD Radeon,530,2073600
Dell,Latitude 5480,Ultrabook,14,Linux,1099,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7600U,2.8,8,256,0,SSD,None,1.6,Intel HD Graphics,620,2073600
HP,Omen 17-w207nv,Gaming,17.3,Windows 10,1999,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,12,256,1000,SSD,HDD,3.35,Nvidia GeForce GTX,1070,2073600
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,Windows 10,299,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Celeron Dual Core N3350,1.1,4,32,0,SSD,None,1.16,Intel HD Graphics,500,2073600
Samsung,Chromebook 3,Netbook,11.6,Chrome OS,269,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3060,1.6,4,16,0,FlashStorage,None,1.15,Intel HD Graphics,400,1049088
Lenovo,Thinkpad 13,Notebook,13.3,Windows 10,1010,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.4,Intel HD Graphics,620,2073600
Lenovo,IdeaPad 320s-14IKB,Notebook,14,Windows 10,599,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i3 7130U,2.7,4,128,0,SSD,None,1.7,Intel HD Graphics,620,2073600
Lenovo,Thinkpad T570,Workstation,15.6,Windows 10,2445,3840,2160,1.777777778,IPS Panel,No,Intel,Core i7 7600U,2.8,16,512,0,SSD,None,2.3,Nvidia GeForce,940,8294400
Lenovo,Thinkpad P51,Notebook,15.6,Windows 10,2449,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7820HQ,2.9,16,512,0,SSD,None,2.5,Nvidia Quadro M,2200,2073600
Asus,Rog Strix,Gaming,17.3,Windows 10,1695,1920,1080,1.777777778,Full HD,No,AMD,Ryzen 1600,3.2,8,256,1000,SSD,HDD,3.2,AMD Radeon RX,580,2073600
